True_Label,Mech_Prob_Normal,Bio_Prob_Normal,Fused_Prob_Normal,Mech_Prob_Scar,Bio_Prob_Scar,Fused_Prob_Scar,Mech_Prob_Inflamed,Bio_Prob_Inflamed,Fused_Prob_Inflamed,Mech_Prob_Tumor,Bio_Prob_Tumor,Fused_Prob_Tumor,Fused_Predicted_Label
2,0.7299087,0.031846814,0.12340544,0.006837619,0.13814256,0.0054028784,0.26035666,0.41096902,0.8606613,0.002896976,0.41904163,0.01053033,2
2,0.22109981,0.0149906855,0.014499848,0.14385453,0.013623586,0.011017134,0.2061911,0.38302267,0.6051299,0.4288546,0.58836305,0.36935312,2
2,0.84282553,0.018371511,0.02214541,0.0037089076,0.017537188,0.002571961,0.12698248,0.29492795,0.94762695,0.026483005,0.66916335,0.027655602,2
2,0.44328937,0.019464673,0.11777934,0.036597308,0.005619476,0.012569698,0.41070032,0.33935183,0.807543,0.10941298,0.63556397,0.06210791,2
2,0.13146392,0.0035731997,0.007714711,0.038787473,0.0012786621,0.0052832314,0.42432982,0.13855603,0.8939621,0.40541887,0.85659206,0.093039915,2
2,0.5572632,0.059504647,0.015299226,0.02037252,0.0070258416,0.0049976977,0.2696628,0.2378201,0.95337856,0.15270153,0.6956494,0.026324477,2
3,0.19182603,0.038226698,0.01134147,0.11683862,0.025842685,0.102893986,0.118305705,0.16342731,0.04096227,0.57302964,0.7725034,0.84480226,3
3,0.48373905,0.06682837,0.14845063,0.039349623,0.20625389,0.06784189,0.16772005,0.4056294,0.108529545,0.3091913,0.32128835,0.67517793,3
3,0.10146415,0.08043589,0.011318444,0.29059538,0.04088553,0.045420133,0.012646685,0.26756588,0.0052229115,0.59529376,0.6111128,0.9380385,3
3,0.048755117,0.003549892,0.03204316,0.16011289,0.0023661633,0.0032812543,0.015823485,0.08950283,0.021667128,0.7753085,0.90458107,0.9430084,3
3,0.030142177,0.008740966,0.007495283,0.05600571,0.008398647,0.018746402,0.19406371,0.18622342,0.12090731,0.71978843,0.79663694,0.85285103,3
3,0.037536286,0.014291784,0.034927703,0.031134352,0.036237337,0.004400076,0.06816377,0.5095004,0.02194643,0.86316556,0.43997058,0.9387258,3
3,0.044983827,0.06251789,0.008635396,0.055828273,0.076114744,0.011663293,0.062431663,0.41329876,0.0059150117,0.8367562,0.44806868,0.97378635,3
3,0.060025893,0.00660201,0.010042832,0.13391872,0.009053087,0.0038243062,0.032834418,0.1935992,0.028826619,0.77322096,0.7907456,0.9573062,3
3,0.06800332,0.059504647,0.06958077,0.07070742,0.0070258416,0.0075928667,0.19435418,0.2378201,0.40660056,0.6669351,0.6956494,0.5162258,3
3,0.0156861,0.0059595034,0.013379842,0.025974158,0.0031652693,0.072158895,0.012275812,0.21983138,0.008550858,0.9460639,0.7710439,0.9059104,3
3,0.0060946713,0.003434616,0.008226517,0.048246853,0.0066115856,0.03108946,0.008864498,0.32512045,0.01173933,0.9367939,0.66483337,0.9489447,3
3,0.16357139,0.0050794706,0.012290092,0.14434132,0.0064017414,0.0026004293,0.019444877,0.15849689,0.043746777,0.6726424,0.83002186,0.9413627,3
3,0.019920457,0.0053911596,0.026040088,0.2551517,0.013217403,0.066963725,0.010282127,0.26887488,0.020646816,0.7146458,0.71251655,0.8863494,3
3,0.016891016,0.00040806504,0.008720474,0.030966943,0.0005026687,0.020894771,0.012911183,0.009935923,0.0015622405,0.9392308,0.98915327,0.9688225,3
3,0.011907187,0.0061185453,0.007184713,0.029990444,0.0030760055,0.0058077774,0.0042362744,0.15724364,0.007370451,0.9538661,0.8335618,0.97963715,3
3,0.005623888,0.034569807,0.0026970478,0.018629178,0.054422505,0.11419833,0.0038796994,0.2926226,0.0075647146,0.9718672,0.61838514,0.8755399,3
3,0.01823114,0.006630367,0.007210178,0.068566814,0.00778298,0.17459045,0.007637347,0.13058741,0.0075930716,0.90556467,0.85499924,0.8106063,3
3,0.13723102,0.009141591,0.09778209,0.2588521,0.008779409,0.0026205643,0.02058219,0.47203118,0.051080715,0.58333474,0.5100478,0.84851664,3
3,0.21966131,0.03055467,0.011237255,0.031928916,0.041999705,0.009692183,0.23081914,0.28539747,0.044920612,0.51759064,0.6420481,0.93415004,3
3,0.05762571,0.0887272,0.05178268,0.06330933,0.12773725,0.203547,0.36647195,0.087676555,0.14869642,0.51259303,0.6958591,0.5959739,3
3,0.07189836,0.0207425,0.013989185,0.12025757,0.027780969,0.084259845,0.42814225,0.032962315,0.012722002,0.37970182,0.91851413,0.8890289,3
3,0.025433058,0.010949087,0.042278964,0.006447591,0.03342356,0.006172524,0.011653835,0.18372987,0.006735052,0.95646554,0.7718975,0.94481343,3
3,0.027575325,0.3213442,0.18994239,0.013548839,0.44094577,0.021288771,0.09363286,0.037466757,0.0052702404,0.86524296,0.20024328,0.78349864,3
3,0.015349013,0.19726047,0.058695458,0.008657013,0.6251167,0.2637251,0.025075287,0.022583712,0.01637972,0.9509187,0.15503916,0.66119975,3
3,0.03724115,0.022496292,0.27294636,0.03539313,0.013542454,0.035572655,0.3399853,0.16422832,0.15902603,0.5873804,0.799733,0.5324549,3
3,0.042147484,0.06942477,0.025928041,0.06263916,0.23275018,0.07165869,0.066683665,0.0923229,0.006195121,0.82852966,0.6055022,0.8962181,3
3,0.017317493,0.0029850157,0.0015805016,0.16936664,0.013554139,0.009943344,0.004674595,0.050995976,0.00028143838,0.8086413,0.9324649,0.98819476,3
3,0.0023292254,0.0052039926,0.0013037731,0.008929685,0.016219053,0.0034851762,0.008880228,0.054888636,0.0008912039,0.9798609,0.9236883,0.9943199,3
3,0.013309991,0.0062148375,0.016505828,0.2812848,0.0043501323,0.01198351,0.011269068,0.1493661,0.01679975,0.69413614,0.840069,0.95471096,3
3,0.002248434,0.0037573986,0.0026576533,0.013579312,0.011431836,0.0053660213,0.0013741055,0.2459021,0.004468066,0.9827982,0.7389086,0.9875082,3
3,0.0032321971,0.0051791295,0.0060155825,0.0054960498,0.0063461037,0.010163774,0.005911319,0.16455284,0.012925993,0.98536044,0.823922,0.97089463,3
3,0.009832764,0.003220623,0.016952598,0.03342395,0.004543279,0.036530502,0.0036496487,0.107067086,0.024163818,0.95309365,0.885169,0.92235297,3
0,0.3295506,0.6364525,0.90485203,0.009870746,0.21887037,0.02158137,0.6424208,0.07609411,0.071128756,0.01815782,0.06858301,0.002437838,0
0,0.6589208,0.24269369,0.8406512,0.03681691,0.63886017,0.027678791,0.19030967,0.041583445,0.023058463,0.11395265,0.07686265,0.108611524,0
0,0.79132587,0.8747792,0.9816022,0.01715816,0.09001085,0.0052075908,0.1665053,0.0135301035,0.002732588,0.025010625,0.021679826,0.010457603,0
0,0.4241396,0.15773061,0.74963564,0.034260906,0.6766066,0.057811122,0.47606057,0.097251914,0.13496277,0.06553895,0.06841083,0.057590414,0
0,0.7940284,0.2641737,0.98352706,0.015560972,0.7254414,0.002528613,0.13329026,0.0054455134,0.0014660156,0.057120364,0.0049394052,0.012478324,0
0,0.797165,0.8175297,0.98848134,0.0055628917,0.16171877,0.0050523365,0.18692866,0.009731544,0.004566315,0.01034348,0.011020035,0.0019000515,0
0,0.34519947,0.41084003,0.28772765,0.08419601,0.15470186,0.39627203,0.31607217,0.12427948,0.11544658,0.25453234,0.31017867,0.20055375,1
0,0.6200263,0.18644963,0.8393915,0.004885824,0.71001655,0.001941229,0.3585764,0.043914445,0.13613386,0.01651146,0.05961942,0.022533366,0
0,0.879913,0.44691992,0.96267396,0.011512769,0.42316836,0.006498891,0.09283914,0.04811308,0.0018881243,0.015735153,0.08179855,0.028938988,0
0,0.046842407,0.62818617,0.2882174,0.6526965,0.31682214,0.67416775,0.005770882,0.010809224,0.017638976,0.29469013,0.044182517,0.019975891,1
0,0.69366324,0.53356224,0.95666695,0.006730631,0.24192052,0.01129259,0.28385025,0.0809227,0.01827851,0.015755871,0.1435946,0.013761954,0
