t-SNE_1,t-SNE_2,True_Class
-20.294245,-7.824005,Scar
-8.105461,-7.9653406,Scar
-15.36401,-0.87454605,Scar
-18.640165,-4.313588,Scar
-9.928351,-5.7368026,Scar
-17.221498,-3.3208933,Scar
-15.245683,-0.45155025,Scar
-20.011492,-0.05277624,Scar
-21.406242,-1.7656771,Scar
-18.328415,-2.0566103,Scar
-14.18042,0.22763453,Scar
-19.617771,-7.329372,Scar
-11.863032,-0.37566698,Scar
-10.292201,-7.846737,Scar
-18.652414,-2.979305,Scar
-12.815642,-3.4829397,Scar
-23.702158,6.502021,Scar
9.07642,0.99226034,Inflamed
7.222114,3.235583,Inflamed
2.146344,7.0105124,Inflamed
-2.0538404,9.074726,Inflamed
8.548703,-2.067201,Inflamed
0.8375144,3.9432502,Inflamed
0.73543394,8.014561,Inflamed
3.4663894,1.5487187,Inflamed
4.105178,3.2704558,Inflamed
2.5688977,5.619451,Inflamed
1.9448034,2.80565,Inflamed
2.1426182,6.2964997,Inflamed
8.933056,2.2642176,Inflamed
7.3680897,5.253718,Inflamed
-0.88091797,6.708159,Inflamed
2.5740309,4.212847,Inflamed
1.5801448,5.202392,Inflamed
12.887174,-1.1759989,Inflamed
7.1800327,9.917327,Inflamed
3.3569658,4.094734,Inflamed
4.6989627,8.3834915,Inflamed
3.3471212,8.315503,Inflamed
8.087904,1.8032664,Inflamed
5.830454,1.8722904,Inflamed
3.7831843,0.5322537,Inflamed
2.7317278,6.6672688,Inflamed
6.661134,5.3875723,Inflamed
-6.577521,-8.033657,Inflamed
7.480466,2.4992104,Inflamed
2.3214629,1.8439461,Inflamed
0.64041126,6.0854526,Inflamed
6.9229774,6.692952,Inflamed
4.453036,6.8506346,Inflamed
4.245294,12.387845,Inflamed
2.0292625,10.430013,Inflamed
10.079437,9.865063,Inflamed
4.853937,3.371222,Inflamed
-0.18715137,9.224381,Inflamed
0.30758202,0.67168033,Inflamed
-1.9062926,3.5877368,Inflamed
6.772151,6.4513545,Inflamed
11.218723,1.161793,Inflamed
-2.9805334,6.2031736,Inflamed
0.21595941,5.38797,Inflamed
6.0707073,0.98002225,Inflamed
6.786249,8.814986,Inflamed
4.3108916,-1.491151,Inflamed
2.1993995,9.252595,Inflamed
2.3936229,10.987148,Inflamed
5.669534,4.49089,Inflamed
8.9136505,8.952237,Inflamed
-1.1234872,7.8803835,Inflamed
5.30166,4.7807403,Inflamed
5.111667,5.558485,Inflamed
9.371201,6.5795045,Inflamed
3.778499,5.8231244,Inflamed
3.0546374,10.43517,Inflamed
7.858136,10.431725,Inflamed
7.509415,9.922707,Inflamed
8.226197,5.423149,Inflamed
8.4106865,4.8857365,Inflamed
9.668981,2.125306,Inflamed
5.9242167,7.232201,Inflamed
8.009544,7.6897874,Inflamed
10.866619,6.016272,Inflamed
9.479055,4.7121806,Inflamed
4.354175,8.537014,Inflamed
24.222834,5.011186,Inflamed
13.067591,5.315148,Inflamed
13.762855,1.0933634,Inflamed
13.204501,3.0035596,Inflamed
23.300608,1.0617929,Inflamed
-3.8465433,-3.6007526,Tumor
9.361556,-9.098863,Tumor
10.020457,-8.260643,Tumor
6.262775,-1.9321332,Tumor
12.739355,-9.758278,Tumor
-8.04346,6.5546546,Tumor
7.228258,-11.551151,Tumor
1.7928628,-0.65340966,Tumor
20.463509,-0.63318217,Tumor
5.787347,-8.186717,Tumor
-1.861953,7.318877,Tumor
-6.0629687,-7.969053,Tumor
5.3164096,-4.7676096,Tumor
-1.5671077,8.017583,Tumor
11.445911,-3.6097107,Tumor
16.929028,6.1571507,Tumor
3.0628424,-3.6557517,Tumor
4.8352094,-4.294359,Tumor
9.805697,-1.1472144,Tumor
12.599943,-9.708828,Tumor
23.202518,-1.9902785,Tumor
-5.5853853,-7.8851266,Tumor
7.669319,-0.4908833,Tumor
8.910004,0.61472315,Tumor
2.362193,11.564268,Tumor
-23.626133,-6.488693,Tumor
11.03797,-5.014219,Tumor
14.8313,-2.6208165,Tumor
14.177029,0.4390856,Tumor
12.9688015,3.4840248,Tumor
10.342019,-11.09517,Tumor
6.289713,-8.541402,Tumor
13.630212,4.939499,Tumor
12.905428,3.4097896,Tumor
23.40537,1.225251,Tumor
24.719765,5.5916963,Tumor
13.922165,0.4360764,Tumor
13.690592,3.5746794,Tumor
14.184519,1.1063108,Tumor
13.067591,5.315148,Tumor
23.890413,0.7364201,Tumor
24.567747,4.9241652,Tumor
14.352898,0.847714,Tumor
24.826359,5.183744,Tumor
13.520348,3.0696046,Tumor
24.057472,1.1061617,Tumor
12.945006,4.7726746,Tumor
13.661643,5.0183163,Tumor
24.195242,5.557139,Tumor
13.662078,0.87466705,Tumor
23.495943,0.7316525,Tumor
13.689255,3.5745413,Tumor
23.943733,1.2684804,Tumor
20.265123,-4.2635875,Tumor
21.632565,1.838145,Tumor
12.639227,4.93441,Tumor
24.195242,5.557139,Tumor
15.627591,-1.3545144,Tumor
10.535949,3.8429463,Tumor
19.068333,-0.7726268,Tumor
15.502354,5.8501377,Tumor
12.9152155,-1.1011846,Tumor
15.344026,7.135313,Tumor
15.440691,0.36576435,Tumor
20.888693,-4.5881233,Tumor
23.606792,2.1638787,Tumor
13.270326,6.5029387,Tumor
21.527828,3.6345608,Tumor
22.305574,-4.3047376,Tumor
19.679531,-1.5177991,Tumor
11.182722,-2.2354743,Tumor
10.361231,2.9394407,Tumor
19.071148,4.470358,Tumor
19.874098,-4.1621366,Tumor
17.172482,6.2967687,Tumor
15.891573,7.96138,Tumor
16.90005,-5.4425073,Tumor
7.611317,-6.2265162,Tumor
14.85599,-2.5080655,Tumor
20.398699,-0.70198303,Tumor
1.4589986,8.331952,Tumor
4.524071,-5.7616043,Tumor
8.493555,-8.883191,Tumor
-8.771578,-6.1358128,Tumor
5.008771,9.619522,Tumor
14.542265,-5.2239723,Tumor
-8.305546,-6.126256,Tumor
14.957595,-6.988493,Tumor
8.3898735,-10.937508,Tumor
3.8788805,-6.1141667,Tumor
-6.137516,7.439391,Tumor
8.841718,-5.1934447,Tumor
6.5694165,-6.8471746,Tumor
8.101897,-7.1602836,Tumor
6.675046,-5.4453,Tumor
0.43317828,10.416782,Tumor
2.9948997,-3.842907,Tumor
-7.7018056,6.797507,Tumor
8.410368,-11.9599285,Tumor
18.402437,5.733532,Tumor
18.499641,6.682883,Tumor
17.470833,7.3769493,Tumor
10.795847,4.0109906,Tumor
-4.304091,-3.85604,Tumor
-4.622669,-2.8863192,Tumor
12.601848,-6.6709585,Tumor
19.744461,6.488855,Tumor
-1.0756953,-3.9532733,Tumor
18.657852,5.1556287,Tumor
18.496925,8.010914,Tumor
-10.433605,-2.1242402,Tumor
16.072186,4.9252644,Tumor
-0.39165518,-6.323037,Tumor
22.921797,-2.0305781,Tumor
-2.3894281,-4.1911197,Tumor
-10.935136,-3.050292,Tumor
-2.0060031,-4.1626935,Tumor
8.596196,-5.081531,Tumor
18.569992,-4.4578905,Tumor
6.0928464,-1.6142877,Tumor
9.4083185,-6.0730333,Tumor
