t-SNE_1,t-SNE_2,True_Class
0.5560148,24.100067,Inflamed
0.37998536,23.532885,Inflamed
-0.26893398,18.431168,Inflamed
0.2549586,21.46103,Inflamed
-0.6779876,17.504091,Inflamed
-0.63980675,19.171188,Inflamed
-0.2142766,20.561342,Inflamed
-1.0550478,17.71497,Inflamed
0.6889988,17.69146,Inflamed
-3.4241977,20.302795,Inflamed
-0.49818435,23.044067,Inflamed
-2.8270013,21.526667,Inflamed
-0.42075494,17.093002,Inflamed
4.165489,20.93553,Inflamed
1.3033838,18.672861,Inflamed
-3.0054734,22.303896,Inflamed
-0.877404,22.60164,Inflamed
0.55541116,20.035154,Inflamed
-1.1049923,16.620396,Inflamed
-2.0443928,23.534996,Inflamed
-2.288915,22.468353,Inflamed
0.1413732,17.879414,Inflamed
-4.4347095,20.954905,Inflamed
-2.872362,22.95628,Inflamed
-0.80016637,17.484272,Inflamed
-3.692718,21.7493,Inflamed
-4.003553,21.970192,Inflamed
2.7931774,24.39567,Inflamed
0.18192014,19.09865,Inflamed
-3.3832285,19.660698,Inflamed
-0.3735403,20.985523,Inflamed
-1.7312168,21.027609,Inflamed
2.2393692,19.529531,Inflamed
2.3466256,19.95464,Inflamed
3.173753,23.827988,Inflamed
1.9818373,20.43123,Inflamed
-3.454715,20.703579,Inflamed
2.8419776,23.151245,Inflamed
0.30992708,20.83252,Inflamed
2.913741,22.395666,Inflamed
2.732204,21.859055,Inflamed
0.711738,21.390932,Inflamed
2.8396058,22.101183,Inflamed
3.8141274,22.545338,Inflamed
2.118195,22.60584,Inflamed
1.2969599,23.111425,Inflamed
2.0269487,21.066076,Inflamed
1.699072,23.49098,Inflamed
2.602788,21.20255,Inflamed
2.5292847,22.003214,Inflamed
1.2310863,21.076675,Inflamed
3.8862748,21.062311,Inflamed
7.3475876,6.1753187,Tumor
8.257541,5.6992083,Tumor
6.3648443,7.224074,Tumor
14.622775,1.6990407,Tumor
9.605113,3.7994123,Tumor
5.5564,2.387033,Tumor
6.224747,5.6534033,Tumor
7.6229177,2.796613,Tumor
3.5738366,9.390619,Tumor
4.982979,7.783721,Tumor
5.974409,5.357694,Tumor
5.896518,4.2611227,Tumor
5.6197486,5.4804683,Tumor
5.568006,4.2206945,Tumor
4.124347,9.757035,Tumor
6.357261,7.9841228,Tumor
5.3720546,4.656359,Tumor
11.006389,4.0854125,Tumor
12.630956,2.7613049,Tumor
9.494955,4.025615,Tumor
5.0783596,6.8273892,Tumor
7.1010823,3.4703376,Tumor
6.994699,7.301491,Tumor
10.037747,1.0659702,Tumor
8.209776,2.56454,Tumor
-6.0499625,-15.475347,Tumor
3.0652554,9.682774,Tumor
8.90336,-0.4775963,Tumor
