0.1380495,0.1367556,0.13566744,0.13481751,0.13423824,0.13396217,0.1340217,0.13444938,0.13527767,0.13653907,0.13826601,0.14049104,0.14324659,0.14656517,0.15047926,0.15502132,0.16022384,0.16570663,0.17107558,0.17634252,0.1815192,0.18661739,0.19164887,0.19662544,0.2015588,0.20646074,0.21134312,0.21621768,0.22109613,0.22599024,0.23091187,0.23587272,0.24088457,0.24595919,0.25110838,0.256344,0.26167756,0.26712108,0.27268627,0.2783849,0.28422868,0.29022953,0.29639897,0.302749,0.30929127,0.31603765,0.32299986,0.3301897,0.3376189,0.34483066,0.35138193,0.3573052,0.36263302,0.36739773,0.37163195,0.37536812,0.37863874,0.38147622,0.3839131,0.3859819,0.38771498,0.38914493,0.39030418,0.39122528,0.3919406,0.39248273,0.39288402,0.39317712,0.3933944,0.39356834,0.3937315,0.39391634,0.39415526,0.39448085,0.3949255,0.39552173,0.396302,0.3972989,0.39854476,0.40007213,0.40191352,0.40379912,0.4054454,0.40686396,0.40806678,0.40906543,0.40987188,0.41049778,0.41095495,0.4112552,0.41141015,0.41143176,0.4113317,0.41112176,0.41081366,0.41041937
0.13740842,0.13611199,0.13502167,0.13417003,0.13358961,0.13331296,0.13337265,0.13380115,0.13463111,0.13589503,0.1376254,0.13985485,0.14261587,0.14594106,0.14986289,0.15441401,0.15962689,0.16512047,0.1704999,0.17577705,0.18096362,0.18607147,0.19111241,0.19609825,0.20104079,0.20595184,0.21084322,0.2157267,0.22061412,0.22551729,0.23044804,0.23541814,0.24043939,0.24552366,0.25068268,0.2559283,0.2612723,0.26672655,0.2723028,0.2780129,0.2838686,0.2898818,0.29606423,0.3024277,0.30898407,0.31574512,0.32272267,0.32992852,0.33737445,0.3446026,0.35116902,0.35710618,0.36244667,0.36722305,0.37146777,0.3752135,0.3784927,0.38133797,0.38378182,0.38585678,0.38759542,0.38903034,0.39019406,0.39111906,0.3918379,0.39238322,0.39278746,0.3930832,0.39330307,0.39347953,0.39364508,0.39383233,0.3940739,0.39440227,0.39484984,0.3954494,0.39623335,0.39723435,0.39848483,0.40001738,0.4018645,0.40375584,0.40540704,0.40682998,0.4080364,0.40903816,0.40984696,0.4104749,0.4109334,0.4112345,0.41138998,0.41141167,0.41131124,0.4111007,0.41079172,0.41039616
0.13686927,0.13557068,0.13447858,0.1336255,0.13304411,0.13276702,0.13282679,0.13325605,0.13408735,0.13535337,0.13708663,0.1393198,0.14208545,0.14541614,0.14934456,0.15390322,0.1591248,0.1646275,0.17001578,0.17530146,0.18049635,0.18561234,0.19066124,0.1956549,0.20060512,0.2055238,0.21042275,0.21531382,0.22020884,0.22511958,0.23005795,0.23503582,0.24006501,0.2451573,0.25032464,0.25557867,0.2609315,0.26639473,0.2719803,0.2777,0.28356582,0.28958943,0.2957827,0.30215752,0.30872568,0.31549907,0.32248953,0.32970884,0.3371688,0.34441087,0.35099,0.3569388,0.36229002,0.3670761,0.3713297,0.37508345,0.3783699,0.38122162,0.3836713,0.3857516,0.38749492,0.3889339,0.3901013,0.3910297,0.39175153,0.39229953,0.39270627,0.39300424,0.3932262,0.39340472,0.3935724,0.39376175,0.39400548,0.39433607,0.39478624,0.39538854,0.39617562,0.39717996,0.3984344,0.39997122,0.40182325,0.4037194,0.40537483,0.40680134,0.4080109,0.40901518,0.4098261,0.41045555,0.4109153,0.41121712,0.41137302,0.41139475,0.41129413,0.41108292,0.41077322,0.41037664
0.13644817,0.1351479,0.13405435,0.13320021,0.13261807,0.1323406,0.13240044,0.13283023,0.13366261,0.13493028,0.13666582,0.13890187,0.14167109,0.14500616,0.14893964,0.15350428,0.15873264,0.16424248,0.16963762,0.17492999,0.18013138,0.18525372,0.19030884,0.19530857,0.20026484,0.20518947,0.21009435,0.21499132,0.21989223,0.22480895,0.22975329,0.23473726,0.23977262,0.24487121,0.2500449,0.25530565,0.2606652,0.2661355,0.27172837,0.27745566,0.28332928,0.289361,0.29556283,0.30194643,0.30852386,0.31530693,0.3223074,0.32953727,0.33700824,0.34426108,0.35085016,0.3568081,0.3621676,0.36696133,0.3712218,0.37498185,0.37827393,0.38113075,0.3835851,0.38566947,0.38741642,0.38885865,0.39002898,0.39095995,0.3916841,0.39223418,0.39264277,0.39294255,0.39316624,0.39334634,0.3935156,0.3937066,0.39395198,0.39428443,0.3947366,0.39534107,0.3961305,0.39713764,0.39839494,0.39993525,0.40179104,0.40369093,0.40534964,0.40677902,0.4079909,0.4089972,0.4098098,0.41044044,0.4109011,0.4112036,0.4113598,0.41138154,0.41128072,0.41106912,0.41075873,0.4103614
0.1361612,0.13485976,0.13376524,0.13291031,0.13232768,0.13204996,0.13210985,0.13254005,0.13337317,0.13464193,0.13637903,0.13861705,0.14138876,0.14472672,0.14866373,0.15323238,0.15846537,0.16398005,0.16937989,0.1746768,0.17988265,0.18500933,0.19006866,0.19507258,0.20003295,0.20496163,0.20987052,0.21477148,0.21967642,0.22459719,0.2295457,0.23453379,0.23957331,0.24467622,0.24985431,0.25511956,0.26048374,0.26595888,0.27155665,0.27728912,0.28316808,0.2892054,0.29541293,0.30180264,0.30838636,0.31517592,0.32218322,0.32942027,0.33689877,0.344159,0.3507548,0.35671902,0.36208424,0.3668831,0.37114835,0.37491265,0.37820855,0.3810689,0.38352624,0.38561338,0.38736284,0.38880742,0.3899797,0.39091238,0.39163813,0.39218962,0.3925995,0.39290056,0.3931253,0.39330658,0.39347684,0.393669,0.39391553,0.39424926,0.39470276,0.3953087,0.3960998,0.39710876,0.3983681,0.3999107,0.40176907,0.40367156,0.40533248,0.40676382,0.40797734,0.408985,0.40979865,0.41043022,0.41089135,0.4111943,0.4113507,0.4113725,0.41127154,0.4110597,0.410749,0.41035104
0.13602442,0.13472238,0.13362743,0.13277218,0.13218927,0.13191141,0.13197136,0.1324017,0.1332352,0.13450448,0.13624232,0.13848132,0.14125411,0.14459358,0.1485322,0.15310277,0.15833798,0.16385496,0.16925704,0.17455615,0.17976412,0.1848928,0.1899542,0.19496007,0.19992238,0.20485303,0.20976382,0.21466672,0.21957356,0.22449629,0.22944671,0.23443675,0.23947835,0.24458325,0.24976347,0.25503087,0.26039732,0.2658747,0.27147487,0.27720976,0.28309125,0.2891312,0.2953415,0.3017341,0.30832076,0.3151135,0.32212412,0.32936457,0.33684662,0.3441103,0.35070938,0.35667658,0.3620444,0.3668458,0.3711133,0.37487957,0.3781774,0.3810394,0.38349825,0.38558665,0.38733733,0.38878295,0.38995615,0.39088964,0.39161617,0.39216837,0.39257893,0.39288053,0.39310592,0.39328766,0.39345846,0.39365107,0.3938982,0.39423245,0.3946866,0.3952933,0.39608514,0.39709494,0.39835528,0.39989898,0.40175858,0.40366226,0.40532428,0.40675655,0.40797085,0.40897924,0.40979332,0.41042522,0.41088688,0.4111899,0.41134647,0.4113682,0.41126716,0.41105518,0.41074425,0.41034597
0.1360539,0.13475205,0.13365716,0.13280195,0.13221909,0.13194132,0.1320012,0.13243155,0.13326496,0.13453414,0.1362718,0.13851057,0.14128318,0.1446223,0.14856058,0.15313074,0.15836546,0.16388196,0.16928354,0.17458217,0.17978968,0.18491794,0.18997888,0.19498433,0.19994624,0.20487647,0.20978683,0.21468931,0.21959578,0.22451805,0.22946803,0.23445769,0.23949878,0.24460332,0.24978308,0.25505,0.26041594,0.26589283,0.27149248,0.2772269,0.28310782,0.28914717,0.2953569,0.3017489,0.30833486,0.31512693,0.32213685,0.32937658,0.3368579,0.34412086,0.3507192,0.3566857,0.36205304,0.36685383,0.37112087,0.3748867,0.37818408,0.3810458,0.38350427,0.38559243,0.3873428,0.38878822,0.38996124,0.3908946,0.39162093,0.39217296,0.3925834,0.39288482,0.39311,0.39329165,0.3934624,0.39365494,0.39390194,0.3942361,0.39469004,0.3952966,0.39608827,0.39709792,0.39835805,0.39990154,0.40176088,0.40366435,0.40532604,0.4067581,0.40797228,0.40898043,0.40979448,0.41042635,0.4108878,0.4111909,0.41134733,0.41136912,0.41126812,0.41105613,0.41074523,0.4103471
0.1362658,0.13496475,0.13387062,0.13301598,0.1324335,0.13215588,0.13221577,0.13264582,0.13347869,0.13474703,0.13648352,0.13872086,0.14149165,0.1448286,0.1487643,0.15333149,0.15856278,0.16407567,0.1694738,0.17476909,0.1799733,0.1850984,0.19015618,0.19515859,0.20011748,0.20504467,0.20995209,0.21485162,0.21975508,0.22467436,0.22962137,0.23460793,0.23964593,0.24474725,0.24992384,0.2551874,0.2605499,0.26602325,0.27161926,0.27734986,0.28322685,0.28926212,0.29546753,0.30185503,0.30843645,0.31522363,0.32222852,0.3294629,0.33693868,0.34419617,0.35078955,0.35675147,0.3621146,0.36691162,0.3711751,0.3749378,0.37823242,0.38109145,0.38354766,0.3856338,0.38738242,0.3888261,0.38999766,0.3909297,0.39165482,0.3922058,0.3926153,0.39291582,0.39314026,0.39332104,0.393491,0.39368272,0.39392886,0.39426214,0.39471507,0.3953205,0.39611098,0.39711925,0.39837793,0.3999196,0.40177706,0.4036786,0.40533876,0.4067694,0.4079823,0.40898943,0.40980273,0.41043392,0.41089493,0.41119766,0.41135398,0.41137576,0.41127485,0.4110631,0.41075245,0.4103548
0.13667618,0.13537678,0.13428403,0.13343045,0.13284871,0.13257144,0.13263124,0.13306075,0.13389258,0.13515934,0.13689366,0.13912815,0.14189541,0.14522812,0.14915888,0.15372027,0.15894496,0.16445093,0.16984238,0.17513108,0.18032901,0.18544789,0.19049965,0.19549607,0.2004491,0.2053705,0.21027213,0.21516591,0.22006361,0.22497712,0.22991826,0.23489888,0.23993093,0.2450261,0.2501964,0.25545347,0.26080936,0.26627582,0.27186477,0.27758798,0.28345737,0.28948468,0.29568186,0.30206072,0.30863315,0.31541097,0.32240602,0.32963008,0.33709517,0.34434214,0.35092586,0.35687888,0.3622339,0.36702344,0.3712802,0.37503684,0.3783259,0.38118,0.38363177,0.38571388,0.3874589,0.38889948,0.39006817,0.39099768,0.39172056,0.39226958,0.3926772,0.392976,0.39319867,0.39337796,0.39354634,0.39373645,0.39398095,0.3943124,0.39476347,0.3953668,0.39615494,0.3971606,0.39841628,0.39995468,0.40180847,0.40370634,0.40536326,0.4067911,0.4080017,0.40900692,0.4098186,0.41044858,0.4109088,0.4112109,0.41136697,0.4113887,0.41128787,0.41107666,0.41076663,0.41036963
0.13730115,0.13600425,0.13491358,0.13406168,0.13348106,0.13320433,0.133264,0.13369271,0.13452291,0.1357872,0.13751818,0.13974836,0.14251031,0.14583658,0.14975977,0.15431234,0.15952694,0.16502236,0.17040357,0.17568238,0.18087062,0.18598013,0.19102263,0.19601004,0.20095406,0.20586671,0.21075954,0.21564455,0.22053349,0.22543816,0.2303704,0.23534207,0.24036488,0.24545075,0.2506114,0.25585875,0.26120448,0.2666605,0.2722386,0.27795064,0.28380838,0.2898236,0.29600817,0.30237392,0.30893266,0.31569618,0.3226762,0.32988477,0.33733353,0.3445644,0.3511334,0.35707286,0.3624155,0.3671938,0.37144038,0.37518755,0.37846828,0.38131475,0.38375983,0.38583583,0.3875755,0.38901117,0.39017558,0.3911013,0.39182073,0.39236656,0.39277124,0.3930675,0.39328778,0.39346462,0.39363062,0.39381835,0.3940603,0.39438903,0.3948372,0.3954373,0.39622188,0.39722347,0.39847475,0.40000814,0.4018563,0.40374857,0.40540063,0.40682423,0.4080313,0.40903357,0.40984294,0.41047102,0.41092977,0.41123104,0.41138658,0.4114083,0.4113079,0.41109717,0.41078803,0.41039228
